sample_id,source,genotype,collection_year,location,host,tissue,Organism_Name,decade,genotype_major,tissue_clean
s0332,Reference,1a,2008,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0500,Reference,1a,2008,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0246,Reference,1a,2008,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0613,Reference,1a,2008,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0311,Reference,1b,2008,USA: Massachusetts,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0163,Reference,1a,2008,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0064,Reference,1a,2008,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0249,Reference,1a,2008,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0123,Reference,1a,2008,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0536,Reference,1a,2008,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0447,Reference,1a,2008,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0213,Reference,1a,2008,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0013,Reference,1a,2008,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0424,Reference,1b,2008,USA: Massachusetts,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0493,Reference,1a,2008,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0103,Reference,1a,2008,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0281,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0006,Reference,1a,2008,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0310,Reference,1a,2008,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0204,Reference,1a,2008,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0023,Reference,1a,2008,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0571,Reference,1a,2008,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0086,Reference,1a,2008,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0215,Reference,1b,2008,Switzerland,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0445,Reference,1b,2008,Switzerland,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0537,Reference,1b,2008,Switzerland,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0344,Reference,1b,2008,Switzerland,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0495,Reference,1b,2008,Switzerland,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0582,Reference,1b,2008,Switzerland,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0054,Reference,1b,2008,Switzerland,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0174,Reference,1b,2008,Switzerland,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0526,Reference,1b,2008,Switzerland,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0307,Reference,1b,2008,Switzerland,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0126,Reference,1a,2008,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0156,Reference,1a,2008,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0057,Reference,1a,2008,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0488,Reference,1a,2008,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0339,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0276,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0099,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0450,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0543,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0018,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0219,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0098,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0277,Reference,1a,2008,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0056,Reference,1a,2008,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0176,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0416,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0581,Reference,1a,2008,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0239,Reference,1a,2008,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0132,Reference,1a,2008,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0525,Reference,1a,2008,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0306,Reference,1a,2008,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0585,Reference,1a,2008,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0415,Reference,1a,2008,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0289,Reference,1a,2008,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0091,Reference,1a,2008,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0460,Reference,1a,2008,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0377,Reference,1a,2008,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0020,Reference,1a,2008,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0201,Reference,1a,2008,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0419,Reference,1a,2008,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0565,Reference,1a,2008,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0372,Reference,1a,2008,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0463,Reference,1a,2008,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0305,Reference,1b,2008,Switzerland,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0284,Reference,1b,2008,USA: Colorado,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0138,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0165,Reference,1b,2008,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0382,Reference,1b,2008,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0248,Reference,1b,2008,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0122,Reference,1b,2008,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0502,Reference,1b,2008,USA: Massachusetts,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0410,Reference,1a,2008,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0530,Reference,1a,2008,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0160,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0060,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0179,Reference,1b,2008,USA: Tennessee,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0053,Reference,1b,2008,USA: Tennessee,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0459,Reference,1b,2008,USA: Tennessee,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0375,Reference,1b,2008,USA: Tennessee,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0291,Reference,1b,2008,USA: Tennessee,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0340,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0490,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0094,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0274,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0089,Reference,1b,2008,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0292,Reference,1b,2008,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0403,Reference,1b,2008,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0589,Reference,1b,2008,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0037,Reference,1b,2008,USA: New York,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0181,Reference,1b,2008,USA: New York,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0602,Reference,1a,2008,USA: New York,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0387,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0153,Reference,1a,2008,Germany,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0554,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0303,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0082,Reference,1a,2008,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0553,Reference,1b,2008,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0365,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0478,Reference,1b,2008,USA: Tennessee,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0268,Reference,1a,2008,Germany: Baden-Wurttemberg,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0546,Reference,1a,2008,Germany: Baden-Wurttemberg,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0440,Reference,1a,2008,Germany: Baden-Wurttemberg,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0005,Reference,Unknown,2008,Japan: Hiroshima,Unknown,NA,Hepacivirus hominis,2000s,Unknown,NA
s0512,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0384,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0183,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0033,Reference,1a,2008,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0608,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0380,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0504,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0333,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0573,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0425,Reference,1a,2008,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0282,Reference,1b,2008,Switzerland,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0141,Reference,1a,2008,Germany,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0522,Reference,1a,2008,Germany,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0390,Reference,1b,2008,Germany,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0036,Reference,1a,2008,USA: New York,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0180,Reference,1a,2008,USA: New York,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0404,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0590,Reference,1a,2008,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0324,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0599,Reference,1b,2008,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0442,Reference,1a,2008,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0548,Reference,1a,2008,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0012,Reference,1a,2008,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0223,Reference,1a,2008,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0480,Reference,1a,2008,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0352,Reference,1a,2008,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0265,Reference,1a,2008,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0112,Reference,1a,2008,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0226,Reference,1a,2008,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0076,Reference,1b,2008,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0510,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0255,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0116,Reference,1a,2008,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0396,Reference,1a,2008,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0606,Reference,1a,2008,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0068,Reference,1a,2008,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0150,Reference,1a,2008,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0114,Reference,1a,2008,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0187,Reference,1b,2008,Switzerland,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0110,Reference,1b,2008,Switzerland,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0195,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0438,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0561,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0294,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0074,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0471,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0364,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0563,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0435,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0235,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0148,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0517,Reference,1a,2008,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0321,Reference,1a,2008,Germany,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0115,Reference,1b,2008,Switzerland,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0256,Reference,1b,2008,Switzerland,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0398,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0511,Reference,1b,2008,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0320,Reference,1a,2008,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0607,Reference,1b,2008,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0366,Reference,1b,2008,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0473,Reference,1b,2008,USA: Massachusetts,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0014,Reference,1a,2008,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0302,Reference,1b,2008,USA: Tennessee,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0479,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0428,Reference,1b,2008,USA: Tennessee,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0194,Reference,1b,2008,USA: Tennessee,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0304,Reference,1b,2008,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0017,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0541,Reference,1b,2008,Japan:Hiroshima,Unknown,NA,Hepatitis C virus subtype 1b,2000s,GT1,NA
s0434,Reference,1a,2007,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0000,Reference,1b,2007,USA: New York,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0298,Reference,1a,2007,USA: New York,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0359,Reference,1a,2007,USA: New York,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0487,Reference,1a,2007,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0105,Reference,1a,2007,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0515,Reference,1a,2007,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0596,Reference,1b,2007,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0067,Reference,1b,2007,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0229,Reference,1a,2007,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0595,Reference,1a,2007,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0406,Reference,1a,2007,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0288,Reference,1a,2007,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0570,Reference,1a,2007,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0421,Reference,1a,2007,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0208,Reference,1a,2007,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0100,Reference,1b,2007,USA: Tennessee,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0211,Reference,1b,2007,USA: Tennessee,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0002,Reference,1b,2007,USA: Tennessee,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0241,Reference,1b,2007,USA: Tennessee,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0133,Reference,1b,2007,USA: Tennessee,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0532,Reference,1b,2007,USA: Tennessee,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0316,Reference,1b,2007,USA: Tennessee,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0045,Reference,1b,2007,USA: Tennessee,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0168,Reference,1b,2007,USA: Tennessee,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0412,Reference,1b,2007,USA: Tennessee,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0578,Reference,1b,2007,USA: Tennessee,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0315,Reference,1b,2007,USA: Tennessee,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0535,Reference,1b,2007,USA: Tennessee,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0025,Reference,1b,2007,USA: Tennessee,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0207,Reference,1b,2007,USA: Tennessee,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0423,Reference,1b,2007,USA: Tennessee,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0499,Reference,1a,2007,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0287,Reference,1b,2007,USA: Tennessee,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0088,Reference,1b,2007,USA: Tennessee,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0542,Reference,1a,2007,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0448,Reference,1a,2007,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0497,Reference,1a,2007,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0345,Reference,1a,2007,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0577,Reference,1a,2007,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0408,Reference,1a,2007,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0171,Reference,1a,2007,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0047,Reference,1a,2007,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0312,Reference,1a,2007,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0531,Reference,1a,2007,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0135,Reference,1a,2007,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0244,Reference,1a,2007,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0050,Reference,1a,2007,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0170,Reference,1a,2007,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0369,Reference,1a,2007,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0456,Reference,1a,2007,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0085,Reference,1a,2007,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0212,Reference,1b,2007,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0492,Reference,1b,2007,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0343,Reference,1b,2007,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0280,Reference,1b,2007,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0102,Reference,1b,2007,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0214,Reference,1b,2007,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0007,Reference,1b,2007,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0243,Reference,1b,2007,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0137,Reference,1b,2007,USA: Massachusetts,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0528,Reference,1b,2007,USA: Massachusetts,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0313,Reference,1b,2007,USA: Massachusetts,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
